Key,Chinese (Traditional)(zh-TW)
敵人說明.鬼火飛蛾,鬼火飛蛾的說明
敵人說明.幻影鹿靈-銀角之森王,幻影鹿靈-銀角之森王的說明
敵人說明.泡泡水精,泡泡水精的說明
敵人說明.戲水魚妖,戲水魚妖的說明
敵人說明.偽裝水草妖,偽裝水草妖的說明
敵人說明.迷途水鬼,迷途水鬼的說明
敵人說明.水龍幼崽,水龍幼崽的說明
敵人說明.沉眠的湖王-深淵九頭蛇,沉眠的湖王-深淵九頭蛇的說明
敵人說明.沙塵蠍怪,沙塵蠍怪的說明
敵人說明.活化石像,活化石像的說明
敵人說明.詛咒木乃伊貓,詛咒木乃伊貓的說明
敵人說明.沙影幻狼,沙影幻狼的說明
敵人說明.狂風元素,狂風元素的說明
敵人說明.沙暴之王-千年金字塔魔神,沙暴之王-千年金字塔魔神的說明
敵人說明.失控魔法書,失控魔法書的說明
敵人說明.暴走元素精靈,暴走元素精靈的說明
敵人說明.魔法毒史萊姆,魔法毒史萊姆的說明
敵人說明.詛咒黑貓人,詛咒黑貓人的說明
敵人說明.被詛咒的鏡像,被詛咒的鏡像的說明
敵人說明.墮落大法師-黑焰之貓,墮落大法師-黑焰之貓的說明
敵人說明.迷失的貓魂,迷失的貓魂的說明
敵人說明.詭異人偶,詭異人偶的說明
敵人說明.亡靈旅人,亡靈旅人的說明
敵人說明.詭笑街燈,詭笑街燈的說明
敵人說明.無臉幽影,無臉幽影的說明
敵人說明.詭異旅館主人-沉默之影,詭異旅館主人-沉默之影的說明
敵人說明.岩石魔像,岩石魔像的說明
敵人說明.地縛鬼魂,地縛鬼魂的說明
敵人說明.洞穴猛獸,洞穴猛獸的說明
敵人說明.幽冥守衛,幽冥守衛的說明
敵人說明.深淵蜥蜴王,深淵蜥蜴王的說明
敵人說明.永恆看守者-鎖鏈魔王,永恆看守者-鎖鏈魔王的說明
敵人說明.天翼獵鷹,天翼獵鷹的說明
敵人說明.雲霧元素,雲霧元素的說明
敵人說明.雷擊飛龍,雷擊飛龍的說明
敵人說明.風之魔像,風之魔像的說明
敵人說明.天空戰士靈魂,天空戰士靈魂的說明
敵人說明.天空王座-風暴泰坦,天空王座-風暴泰坦的說明
敵人說明.熔岩巨魔,熔岩巨魔的說明
敵人說明.燃燒劍靈,燃燒劍靈的說明
敵人說明.火焰犬魔,火焰犬魔的說明
敵人說明.火焰惡魔,火焰惡魔的說明
敵人說明.熔岩飛龍,熔岩飛龍的說明
敵人說明.地獄熔王-深紅魔龍,地獄熔王-深紅魔龍的說明
敵人說明.混沌之主-終焉貓神_Lv1,混沌之主-終焉貓神_Lv1的說明
敵人說明.混沌之主-終焉貓神_Lv1,混沌之主-終焉貓神_Lv1的說明
敵人說明.混沌之主-終焉貓神_Lv2,混沌之主-終焉貓神_Lv2的說明
敵人說明.混沌之主-終焉貓神_Lv2,混沌之主-終焉貓神_Lv2的說明
敵人說明.混沌之主-終焉貓神_Lv3,混沌之主-終焉貓神_Lv3的說明
敵人說明.混沌之主-終焉貓神_Lv3,混沌之主-終焉貓神_Lv3的說明
Tomato.UseageTip,開啟蕃茄鐘時，敵人將不會立即受到傷害
Tomato.DontClose,蕃茄鐘開啟時，只能等到時間到才自動結束！
