Key,Chinese (Traditional)(zh-TW)
敵人說明.黑巷之王-獨眼狸貓,黑巷之王-獨眼狸貓的說明
敵人說明.跳跳蘑菇精,跳跳蘑菇精的說明
敵人說明.偷魚精靈,偷魚精靈的說明
敵人說明.變色葉影獸,變色葉影獸的說明
敵人說明.惡意藤蔓,惡意藤蔓的說明
敵人說明.鬼火飛蛾,鬼火飛蛾的說明
敵人說明.幻影鹿靈-銀角之森王,幻影鹿靈-銀角之森王的說明
敵人說明.泡泡水精,泡泡水精的說明
敵人說明.戲水魚妖,戲水魚妖的說明
敵人說明.偽裝水草妖,偽裝水草妖的說明
敵人說明.迷途水鬼,迷途水鬼的說明
敵人說明.水龍幼崽,水龍幼崽的說明
敵人說明.沉眠的湖王-深淵九頭蛇,沉眠的湖王-深淵九頭蛇的說明
敵人說明.沙塵蠍怪,沙塵蠍怪的說明
敵人說明.活化石像,活化石像的說明
敵人說明.詛咒木乃伊貓,詛咒木乃伊貓的說明
敵人說明.沙影幻狼,沙影幻狼的說明
敵人說明.狂風元素,狂風元素的說明
敵人說明.沙暴之王-千年金字塔魔神,沙暴之王-千年金字塔魔神的說明
敵人說明.失控魔法書,失控魔法書的說明
敵人說明.暴走元素精靈,暴走元素精靈的說明
敵人說明.魔法毒史萊姆,魔法毒史萊姆的說明
敵人說明.詛咒黑貓人,詛咒黑貓人的說明
敵人說明.被詛咒的鏡像,被詛咒的鏡像的說明
敵人說明.墮落大法師-黑焰之貓,墮落大法師-黑焰之貓的說明
敵人說明.迷失的貓魂,迷失的貓魂的說明
敵人說明.詭異人偶,詭異人偶的說明
敵人說明.亡靈旅人,亡靈旅人的說明
敵人說明.詭笑街燈,詭笑街燈的說明
敵人說明.無臉幽影,無臉幽影的說明
敵人說明.詭異旅館主人-沉默之影,詭異旅館主人-沉默之影的說明
敵人說明.岩石魔像,岩石魔像的說明
敵人說明.地縛鬼魂,地縛鬼魂的說明
敵人說明.洞穴猛獸,洞穴猛獸的說明
敵人說明.幽冥守衛,幽冥守衛的說明
敵人說明.深淵蜥蜴王,深淵蜥蜴王的說明
敵人說明.永恆看守者-鎖鏈魔王,永恆看守者-鎖鏈魔王的說明
敵人說明.天翼獵鷹,天翼獵鷹的說明
敵人說明.雲霧元素,雲霧元素的說明
敵人說明.雷擊飛龍,雷擊飛龍的說明
敵人說明.風之魔像,風之魔像的說明
敵人說明.天空戰士靈魂,天空戰士靈魂的說明
敵人說明.天空王座-風暴泰坦,天空王座-風暴泰坦的說明
敵人說明.熔岩巨魔,熔岩巨魔的說明
敵人說明.燃燒劍靈,燃燒劍靈的說明
敵人說明.火焰犬魔,火焰犬魔的說明
敵人說明.火焰惡魔,火焰惡魔的說明
敵人說明.熔岩飛龍,熔岩飛龍的說明
敵人說明.地獄熔王-深紅魔龍,地獄熔王-深紅魔龍的說明
敵人說明.混沌之主-終焉貓神_Lv1,混沌之主-終焉貓神_Lv1的說明
敵人說明.混沌之主-終焉貓神_Lv1,混沌之主-終焉貓神_Lv1的說明
敵人說明.混沌之主-終焉貓神_Lv2,混沌之主-終焉貓神_Lv2的說明
敵人說明.混沌之主-終焉貓神_Lv2,混沌之主-終焉貓神_Lv2的說明
敵人說明.混沌之主-終焉貓神_Lv3,混沌之主-終焉貓神_Lv3的說明
敵人說明.混沌之主-終焉貓神_Lv3,混沌之主-終焉貓神_Lv3的說明
場景名稱.冒險入口,冒險入口
場景名稱.廢棄後巷,廢棄後巷
場景名稱.魔法森林邊境,魔法森林邊境
場景名稱.湖泊秘境,湖泊秘境
場景名稱.荒野遺跡,荒野遺跡
場景名稱.魔法學院廢墟,魔法學院廢墟
場景名稱.幽靈城鎮,幽靈城鎮
場景名稱.地底迷宮,地底迷宮
場景名稱.天空之城,天空之城
場景名稱.熔岩深淵,熔岩深淵
場景名稱.混沌禁域,混沌禁域
場景說明.冒險入口,冒險入口的說明
場景說明.廢棄後巷,廢棄後巷的說明
場景說明.魔法森林邊境,魔法森林邊境的說明
場景說明.湖泊秘境,湖泊秘境的說明
場景說明.荒野遺跡,荒野遺跡的說明
場景說明.魔法學院廢墟,魔法學院廢墟的說明
場景說明.幽靈城鎮,幽靈城鎮的說明
場景說明.地底迷宮,地底迷宮的說明
場景說明.天空之城,天空之城的說明
場景說明.熔岩深淵,熔岩深淵的說明
場景說明.混沌禁域,混沌禁域的說明
道具名稱.？？？,？？？
道具名稱.破爛鼠皮,破爛鼠皮
道具名稱.偷來的鈴鐺,偷來的鈴鐺
道具名稱.幽影犬牙,幽影犬牙
道具名稱.黏糊垃圾團,黏糊垃圾團
道具名稱.殘缺掃帚柄,殘缺掃帚柄
道具名稱.獨眼護符,獨眼護符
道具名稱.彈力蘑菇帽,彈力蘑菇帽
道具名稱.精靈羽毛,精靈羽毛
道具名稱.擬態葉片,擬態葉片
道具名稱.纏繞藤條,纏繞藤條
道具名稱.幽光粉塵,幽光粉塵
道具名稱.銀鹿幻角,銀鹿幻角
道具名稱.水精靈泡泡核,水精靈泡泡核
道具名稱.閃光魚鱗,閃光魚鱗
道具名稱.靈活水草絲,靈活水草絲
道具名稱.幽魂之露,幽魂之露
道具名稱.龍息水珠,龍息水珠
道具名稱.九頭龍之牙,九頭龍之牙
道具名稱.毒蠍晶核,毒蠍晶核
道具名稱.古代石碎片,古代石碎片
道具名稱.詛咒布條,詛咒布條
道具名稱.幻沙結晶,幻沙結晶
道具名稱.風暴之羽,風暴之羽
道具名稱.黃金符石,黃金符石
道具名稱.殘破魔法書頁,殘破魔法書頁
道具名稱.元素殘渣,元素殘渣
道具名稱.魔力凝膠,魔力凝膠
道具名稱.暗影魔力碎片,暗影魔力碎片
道具名稱.詭異映像碎片,詭異映像碎片
道具名稱.黑焰魔核,黑焰魔核
道具名稱.幽魂碎片,幽魂碎片
道具名稱.詭異布偶,詭異布偶
道具名稱.破損旅人斗篷,破損旅人斗篷
道具名稱.鬼火燭焰,鬼火燭焰
道具名稱.暗影霧靄,暗影霧靄
道具名稱.靜謐之核,靜謐之核
道具名稱.堅硬魔岩,堅硬魔岩
道具名稱.幽冥之塵,幽冥之塵
道具名稱.敏銳嗅覺結晶,敏銳嗅覺結晶
道具名稱.黑曜石碎片,黑曜石碎片
道具名稱.暗影龍鱗,暗影龍鱗
道具名稱.鎖鏈核心,鎖鏈核心
道具名稱.鋒利羽刃,鋒利羽刃
道具名稱.凝縮雲核,凝縮雲核
道具名稱.雷光龍鱗,雷光龍鱗
道具名稱.疾風石,疾風石
道具名稱.蒼穹戰紋,蒼穹戰紋
道具名稱.風暴之心,風暴之心
道具名稱.熔火碎岩,熔火碎岩
道具名稱.詛咒劍魂,詛咒劍魂
道具名稱.地獄犬牙,地獄犬牙
道具名稱.烈焰魔核,烈焰魔核
道具名稱.熔龍之鱗,熔龍之鱗
道具名稱.熔岩之心,熔岩之心
道具名稱.混沌碎片,混沌碎片
道具名稱.時空塵埃,時空塵埃
道具名稱.終焉爪痕,終焉爪痕
道具名稱.裂隙之核,裂隙之核
道具名稱.重生之血,重生之血
道具名稱.無盡裂隙,無盡裂隙
道具說明.？？？,打破紙箱後取得的東西，似乎沒有任何作用？
道具說明.破爛鼠皮,破舊但仍有韌性的鼠皮，可用於製作耐抓玩具。
道具說明.偷來的鈴鐺,一顆銅色小鈴鐺，會發出清脆的聲音。
道具說明.幽影犬牙,帶有微弱靈氣的犬牙，能散發幽光。
道具說明.黏糊垃圾團,不明成分的黑色黏液，帶有一點彈性。
道具說明.殘缺掃帚柄,一截會微微顫抖的木柄，似乎還有點殘餘魔力。
道具說明.獨眼護符,這個護符來自獨眼狸貓，據說能賦予神秘的敏捷力量。
道具說明.彈力蘑菇帽,這頂蘑菇帽有彈性，被按壓後會迅速彈回原狀。
道具說明.精靈羽毛,這根羽毛帶有微弱魔力，能輕輕漂浮在空中。
道具說明.擬態葉片,這片葉子能隨著環境改變顏色，仿若活物。
道具說明.纏繞藤條,仍帶有生命氣息的魔法藤條，會輕微擺動。
道具說明.幽光粉塵,發出微弱螢光的魔法粉末，能短暫懸浮在空氣中。
道具說明.銀鹿幻角,擁有幻術之力的鹿角碎片，能讓物體短暫閃爍消失。
道具說明.水精靈泡泡核,含有魔法的透明泡泡核，能夠隨機變形或移動。
道具說明.閃光魚鱗,會隨著光線變化顏色的水生妖鱗片，帶有魔力。
道具說明.靈活水草絲,極具彈性的水草，仍帶有微弱的生命氣息。
道具說明.幽魂之露,半透明的液體，據說是迷失靈魂的殘留物。
道具說明.龍息水珠,帶有水龍之力的晶瑩水珠，可釋放微弱水流。
道具說明.九頭龍之牙,擁有強大水屬性力量的龍牙碎片，能引發水元素波動。
道具說明.毒蠍晶核,帶有微量毒素的晶核，能產生奇異的閃光。
道具說明.古代石碎片,來自古老遺跡的魔法石，仍然殘留神秘能量。
道具說明.詛咒布條,被詛咒的古代紗布，會偶爾微微蠕動。
道具說明.幻沙結晶,能夠折射光線，使物體產生幻影效果。
道具說明.風暴之羽,來自狂風中的魔法羽毛，帶有強烈氣流波動。
道具說明.黃金符石,擁有千年魔力的符石，可操控微弱的風沙之力。
道具說明.殘破魔法書頁,依舊殘留魔力的破碎書頁，有時會自動翻動。
道具說明.元素殘渣,來自元素精靈的魔力殘留物，會散發微弱的屬性能量。
道具說明.魔力凝膠,半透明的凝膠狀物質，擁有奇特的魔法吸附力。
道具說明.暗影魔力碎片,來自黑暗魔法的碎片，能吸收光線，使物體變得陰影化。
道具說明.詭異映像碎片,來自詭異鏡像的碎片，能短暫映射物體的影像。
道具說明.黑焰魔核,被黑暗魔法侵蝕的強大魔核，燃燒著詭異的黑色火焰。
道具說明.幽魂碎片,微弱發光的靈魂碎片，觸摸時會感到一絲寒意。
道具說明.詭異布偶,破舊但仍帶有靈性的詭異布娃娃，偶爾會自己動一下。
道具說明.破損旅人斗篷,被黑暗氣息籠罩的斗篷碎片，仍然殘留著主人的氣息。
道具說明.鬼火燭焰,會自動飄動的藍色幽火，似乎有自己的意識。
道具說明.暗影霧靄,像煙霧般的黑暗能量，能短暫變化形態。
道具說明.靜謐之核,擁有壓抑一切聲音的詭異能量核心，靠近時會讓周圍變得無聲。
道具說明.堅硬魔岩,具有魔力的堅固岩石，可作為堅硬材料使用。
道具說明.幽冥之塵,來自迷宮深處的靈魂塵埃，帶有微弱的陰冷氣息。
道具說明.敏銳嗅覺結晶,這顆結晶能夠強化感知能力，散發出微弱的獸性氣息。
道具說明.黑曜石碎片,來自石像戰士的碎片，堅硬且帶有神秘力量。
道具說明.暗影龍鱗,來自黑暗中的蜥蜴王，能吸收光線，使持有者更難被察覺。
道具說明.鎖鏈核心,擁有強大禁錮與控制力量的核心，帶著金屬鎖鏈的殘響。
道具說明.鋒利羽刃,這些羽毛如刀刃般銳利，能夠輕易切開空氣。
道具說明.凝縮雲核,雲霧元素的核心，觸碰時感覺柔軟，卻能變幻形態。
道具說明.雷光龍鱗,帶有微弱電流的龍鱗，偶爾會發出閃電火花。
道具說明.疾風石,內含強風的魔法石，釋放時會產生小型氣流。
道具說明.蒼穹戰紋,戰士英魂留下的古老符文，隱隱流動著光輝。
道具說明.風暴之心,風暴泰坦的核心，能夠產生劇烈氣流與雷電。
道具說明.熔火碎岩,高溫的岩石碎片，觸碰時仍帶有餘熱。
道具說明.詛咒劍魂,被詛咒的劍靈殘片，持續散發出微弱的火焰。
道具說明.地獄犬牙,這些獠牙仍然殘留著來自地獄的灼熱氣息。
道具說明.烈焰魔核,含有濃烈火元素的核心，釋放時會產生火焰噴發。
道具說明.熔龍之鱗,龍鱗上流動著熾熱的熔岩，碰觸時會感受到微弱脈動。
道具說明.熔岩之心,擁有熔岩能量的強大核心，內部翻騰著不滅的火焰。
道具說明.混沌碎片,混沌貓神釋放出的能量碎片，包含了隨機的空間扭曲與時間異常。
道具說明.時空塵埃,這些微小的時空顆粒來自混沌貓神的力量源泉，它們在空氣中漂浮，能夠不穩定地改變周圍環境的時間流速。
道具說明.終焉爪痕,終焉貓神爪擊留下的痕跡，擁有極高的毀滅性，能引發小範圍的爆炸效果。
道具說明.裂隙之核,來自貓神裂隙爆炸的核心物質，擁有將空間撕裂的力量。
道具說明.重生之血,混沌貓神進入重生階段時流出的血液，含有強大的再生魔法。
道具說明.無盡裂隙,來自無盡重生階段的裂隙，這些裂隙不僅能夠撕開空間，還能不斷變化攻擊模式。
玩具名稱.冒險入口,冒險入口
玩具名稱.鼠鈴追擊組,鼠鈴追擊組
玩具名稱.黏彈彈彈球,黏彈彈彈球
玩具名稱.詛咒幻鏡箱,詛咒幻鏡箱
玩具名稱.魔法飄飄羽球,魔法飄飄羽球
玩具名稱.彈彈藤圈圈,彈彈藤圈圈
玩具名稱.幻影追逐幻毯,幻影追逐幻毯
玩具名稱.水彈泡泡盤,水彈泡泡盤
玩具名稱.幽露滑滑繩,幽露滑滑繩
玩具名稱.龍息傳送水輪,龍息傳送水輪
玩具名稱.詛咒探險帳,詛咒探險帳
玩具名稱.滑沙競速球,滑沙競速球
玩具名稱.風沙浮毯陣,風沙浮毯陣
玩具名稱.魔能爆彈書籤,魔能爆彈書籤
玩具名稱.鏡影跳跳球,鏡影跳跳球
玩具名稱.黑焰浮空幻域,黑焰浮空幻域
玩具名稱.迷途靈影燈籠,迷途靈影燈籠
玩具名稱.黑霧懸絲偶,黑霧懸絲偶
玩具名稱.無聲詭屋小舞台,無聲詭屋小舞台
玩具名稱.鎖鍊地鼠陷阱球,鎖鍊地鼠陷阱球
玩具名稱.幽魂迷霧香包,幽魂迷霧香包
玩具名稱.隱影鎖鍊儀式台,隱影鎖鍊儀式台
玩具名稱.浮空羽刃追擊盤,浮空羽刃追擊盤
玩具名稱.雷影震動鼓,雷影震動鼓
玩具名稱.泰坦風暴戰陣圖,泰坦風暴戰陣圖
玩具名稱.火焰滾球,火焰滾球
玩具名稱.熔龍火翼盤,熔龍火翼盤
玩具名稱.火焰熔岩爪爪地,火焰熔岩爪爪地
玩具名稱.混沌球,混沌球
玩具名稱.終焉爪影,終焉爪影
玩具名稱.時空裂隙,時空裂隙
